rainfall,temperature,humidity,wind_speed,pressure,moisture_index,instability_index,pressure_drop,rain_intensity,risk_label
0.0,31.85,49.0,4.47,1008.0,0.0,1560.65,5.0,0.0,0
0.1,31.85,49.0,4.47,1008.0,4.9,1560.65,5.0,0.447,0
0.0,31.85,49.0,4.47,1008.0,0.0,1560.65,5.0,0.0,0
0.0,31.85,49.0,4.47,1008.0,0.0,1560.65,5.0,0.0,0
0.0,31.85,49.0,4.47,1008.0,0.0,1560.65,5.0,0.0,0
3.7,31.85,49.0,4.47,1008.0,181.3,1560.65,5.0,16.539,1
9.0,31.85,49.0,4.47,1008.0,441.0,1560.65,5.0,40.23,1
0.0,31.85,49.0,4.47,1008.0,0.0,1560.65,5.0,0.0,0
0.4,31.85,49.0,4.47,1008.0,19.6,1560.65,5.0,1.788,0
0.0,31.85,49.0,4.47,1008.0,0.0,1560.65,5.0,0.0,0
7.1,31.85,49.0,4.47,1008.0,347.9,1560.65,5.0,31.737,1
0.0,31.85,49.0,4.47,1008.0,0.0,1560.65,5.0,0.0,0
1.3,31.85,49.0,4.47,1008.0,63.7,1560.65,5.0,5.811,0
0.0,31.85,49.0,4.47,1008.0,0.0,1560.65,5.0,0.0,0
7.6,31.85,49.0,4.47,1008.0,372.4,1560.65,5.0,33.971999999999994,1
0.0,31.85,49.0,4.47,1008.0,0.0,1560.65,5.0,0.0,0
10.2,31.85,49.0,4.47,1008.0,499.79999999999995,1560.65,5.0,45.593999999999994,1
26.9,31.85,49.0,4.47,1008.0,1318.1,1560.65,5.0,120.24299999999998,2
5.1,31.85,49.0,4.47,1008.0,249.89999999999998,1560.65,5.0,22.796999999999997,1
17.9,31.85,49.0,4.47,1008.0,877.0999999999999,1560.65,5.0,80.01299999999999,1
2.6,31.85,49.0,4.47,1008.0,127.4,1560.65,5.0,11.622,1
32.2,31.85,49.0,4.47,1008.0,1577.8000000000002,1560.65,5.0,143.934,2
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.4,32.125,62.0,2.535,1007.0,24.8,1991.75,6.0,1.014,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.8,32.125,62.0,2.535,1007.0,49.6,1991.75,6.0,2.028,0
7.2,32.125,62.0,2.535,1007.0,446.40000000000003,1991.75,6.0,18.252000000000002,1
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
1.8,32.125,62.0,2.535,1007.0,111.60000000000001,1991.75,6.0,4.563000000000001,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
8.8,32.125,62.0,2.535,1007.0,545.6,1991.75,6.0,22.308000000000003,1
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
19.4,32.125,62.0,2.535,1007.0,1202.8,1991.75,6.0,49.179,1
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
2.8,32.125,62.0,2.535,1007.0,173.6,1991.75,6.0,7.098,1
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
34.8,32.125,62.0,2.535,1007.0,2157.6,1991.75,6.0,88.218,2
63.2,32.125,62.0,2.535,1007.0,3918.4,1991.75,6.0,160.21200000000002,2
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
5.6,32.125,62.0,2.535,1007.0,347.2,1991.75,6.0,14.196,1
0.8,32.125,62.0,2.535,1007.0,49.6,1991.75,6.0,2.028,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.5,32.125,62.0,2.535,1007.0,31.0,1991.75,6.0,1.2675,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
3.8,32.125,62.0,2.535,1007.0,235.6,1991.75,6.0,9.633000000000001,1
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
4.0,32.125,62.0,2.535,1007.0,248.0,1991.75,6.0,10.14,1
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
3.5,32.125,62.0,2.535,1007.0,217.0,1991.75,6.0,8.8725,1
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
